"Ссылка","Код","Группа образовательных программ","Балл ЕНТ","Профильные предметы","Программы","Описание"
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b14/","B014","Подготовка учителей географии","75","География, Всемирная история","6B01506 География; 6B01513 География-Биология","По завершению обучения Вы сможете работать: учителем географии в ср. школе, лицее, гимназии, колледже; в научно-исследовательских, академических институтах и высших учебных заведениях; в качестве инженеров в системах мониторинга за природной средой, сотрудников природоохранных организаций, в туристско-краеведческой и экологических учреждениях и др.; на объектах производственной и социальной инфраструктуры и т.д."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b15/","B015","Подготовка учителей по гуманитарным предметам","75","Всемирная история, География","6B01601 История; 6B01603 История и обществознание (IP)","Объектами профессиональной деятельности выпускников являются : организации среднего и послесреднего образования, в том числе лицеи, колледжи, гимназии, научно-исследовательские институты и организации, институты повышения квалификации, издательства, библиотеки, методические кабинеты."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b16/","B016","Подготовка учителей казахского языка и литературы","75","Казахский язык, Казахская литература","6B01701 Казахский язык и литература","По завершению обучения Вы сможете работать: в качестве учителя школы, преподавателем колледжа, литературным редактором, корректором, специалистом в пресс-службах государственных организаций переводчиком."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b17/","B017","Подготовка учителей русского языка и литературы","75","Русский язык, Русская литература","6B01703 Русский язык и литература","По завершению обучения Вы сможете работать: в качестве учителя школы, преподавателем колледжа, литературным редактором, корректором, специалистом в пресс-службах государственных организаций переводчиком."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b18/","B018","Подготовка учителей иностранного языка","75","Иностранный язык, Всемирная история","6B01705 Иностранный язык: два иностранных языка; 6B01709 Английский язык (IP)","По завершению обучения Вы сможете работать: в качестве учителя в школах и колледжах, в многочисленных коммерческих образовательных центрах, предлагающих платные курсы по изучению языков для учащихся разных возрастов в должности учителя иностранного языка, методистом."
"https://ksu.edu.kz/enrollee/bakalavriat/6b1/b20/","B020","Подготовка специалистов по специальной педагогике","75","Биология, География","6B01902 Специальная педагогика; 6B01903 Специальная педагогика (IP)","По завершению обучения Вы сможете работать : в центрах развития ребенка, в домах ребенка, в реабилитационных центрах, в центрах психолого-педагогической и медико-социального сопровождения, в психолого-медико-педагогические комиссиях и консультациях, в кабинетах психолого-педагогической коррекции, в специальных дошкольных учреждениях для детей с ООП, в специальных школах для детей с ООП, в службах сопровождения инклюзивного образования."
"https://ksu.edu.kz/enrollee/bakalavriat/6b02-iskusstvo-i-gumanitarnye-nauki/b34/","B034","История","50","Всемирная история, География","6B02201 История","По завершению обучения Вы сможете работать: в архивах, музеях, археологических лабораториях, в научно-исследовательских институтах, высших учебных заведениях, в государственных организациях и средствах массовой информации, в научных институтах, в кабинетах исторического обучения исследовательских центров, в акиматах, в библиотеках, в институтах повышения квалификации, в органах управления, департаментах, в культурно-образовательных центрах, в этнических центрах, в случае прохождения курсов педагогической переподготовки в школах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b02-iskusstvo-i-gumanitarnye-nauki/b036-perevodcheskoe-delo/","B036","Переводческое дело","50","Иностранный язык, Всемирная история","6B02302 Переводческое дело (английский язык); 6B02303 Иностранная филология (английский язык)","По завершению обучения Вы сможете работать: в организациях, осуществляющих международную деятельность, в бюро по переводу, в посольствах и представительствах международных организаций, в министерствах, в агентствах по туризму, в издательствах, в профильных научных организациях, в библиотеках, в организациях культуры."
"https://ksu.edu.kz/enrollee/bakalavriat/6b02-iskusstvo-i-gumanitarnye-nauki/b37/","B037","Филология","50","Казахский язык, Казахская литература","6B02301 Казахская филология; 6B02304 Русская филология","Специалист может быть трудоустроен в таких отраслях как: Педагогическая. Филолог может работать не только преподавателем, но и репетитором. Бизнес-составляющая. Специалист может выступать мастером по деловому общению и правильной постановке речи. Именно филологи проводят тренинги по ораторскому искусству и мастерству ведения переговоров. При условии прохождения курсов педагогической переподготовки выпускнкии могут работать учителем в школе. Средства массовой информации. Филолог имеет ряд карьерных возможностей. Начав с корректора, данный специалист легко пробьется и в главные редакторы. Поскольку филолог в процессе обучения постоянно имеет дело с языком, речью и литературой, он должен уметь грамотно писать, четко и ясно излагать свои мысли. Филолог может стать специалистом в пресс-службах государственных организаций. Интернет-технологии. Редактирование, заливка информационной составляющей и формирование контента (копирайтер). Административный работник. Для специалистов государственных и частных учреждений очень важна грамотная речь, умение находить общий язык с людьми и логично излагать свои мысли, деловой этикет."
"https://ksu.edu.kz/enrollee/bakalavriat/6b3/b41/","В041","Психология","50","Биология, География","6B03101 Психология","По завершению обучения Вы сможете работать: консультирующим психологом, который ведет свою собственную практику, в образовательных учреждениях и научно-исследовательских институтах, в частных и государственных компаниях, в медицинских учреждениях и правоохранительных органах, в центрах реабилитации и социальной адаптации."
